id;id_document_recto;id_document_recto_content_type;id_document_verso;id_document_verso_content_type
1;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
2;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
3;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
4;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
5;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
6;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
7;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
8;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
9;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
10;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
